Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet,who,target
49,More,0,0,0,0,0,1,0,0,Kentucky,0,0,0,1,0,0,Masters,51-75,Female,$50-74,0,0,0,0,0,1,0,0,0,USA,Computer,Married,Censorship,1,Win95,English,Primarily_home,White,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Already_paying,Over_7_yr,97014,IS
27,More,0,1,0,1,0,0,0,0,Illinois,0,0,0,1,0,0,Special,Under_25,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Single,Privacy,4,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,98875,Manager
55,Dont_Know,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Education,Separated,Privacy,4,,Spanish,Primarily_home,Hispanic,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,6-12_mo,90366,K-12_Educator
27,More,1,1,0,0,0,1,0,0,North_Carolina,0,0,0,1,0,0,College,26-50,Female,Not_Say,0,0,0,1,0,0,0,0,0,USA,Computer,Other,Navigation,1,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,95752,Other
33,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,Special,NA,Male,Over_$100,0,0,0,0,0,0,1,0,0,USA,Other,Married,Privacy,1,Windows,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Payment_mechanism,4-6_yr,44635,Artist/Musician
25,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High_School,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,1,,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0,Yes_regardless,1-3_yr,91474,Artist/Musician
44,More,0,1,0,0,0,1,1,0,Indiana,0,0,0,1,0,0,Masters,Never,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Education,Widowed,Privacy,4,,English,Primarily_home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1,Already_paying,6-12_mo,92891,K-12_Educator
63,Dont_Know,1,0,0,0,0,0,0,0,Texas,0,0,0,1,0,0,Professional,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,4,Macintosh,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,84541,Physician
18,Equally,0,1,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,High_School,Never,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,2,Windows,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,1,0,0,0,Payment_mechanism,1-3_yr,90923,K-12_Student
30,Dont_Know,0,1,0,1,0,0,0,1,Pennsylvania,0,0,0,1,0,0,High_School,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Other,Encryption,2,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,96059,Looking
63,More,0,1,0,0,0,0,0,1,Ontario,0,0,1,0,0,0,High_School,Under_25,Male,$50-74,0,0,1,0,0,0,0,0,0,Canada,Other,Single,Censorship,1,Windows,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr,91078,Retired
34,Equally,0,0,0,0,0,1,0,0,Australia,0,0,0,1,0,0,Masters,Under_25,Male,$40-49,0,0,0,0,0,0,0,0,1,Oceania,Education,Married,Encryption,4,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,93933,College_Educator
39,More,1,1,0,0,0,1,0,0,Michigan,0,0,0,1,0,0,Some_College,Under_25,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Computer,Single,Navigation,1,Macintosh,English,Primarily_work,White,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Already_paying,4-6_yr,98516,IS
33,More,1,1,0,0,0,1,0,0,Ohio,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,1,1,0,0,USA,Computer,Married,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,98755,Other
60,Dont_Know,0,0,1,0,0,0,0,0,Connecticut,0,0,1,0,0,0,Some_College,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Dont_Know,2,,English,Home,White,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,91207,Other
26,Equally,0,0,0,0,0,1,0,0,Rhode_Island,0,0,0,1,0,0,Some_College,Never,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Other,Married,Dont_Know,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,6-12_mo,97026,Other
35,More,1,1,0,0,0,1,0,1,Michigan,0,0,0,1,0,0,Professional,Over_75,Female,$40-49,0,0,0,0,1,0,0,0,0,USA,Professional,Single,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,91156,Nurse
50,More,0,1,0,0,0,0,1,0,Michigan,0,0,1,0,0,0,High_School,Never,Female,$30-39,0,0,0,1,0,0,0,0,0,USA,Other,Married,Taxes,1,,English,Home,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Cost_too_high,6-12_mo,93448,Homemaker
40,Dont_Know,0,0,0,1,0,0,0,0,New_York,0,0,0,1,0,0,Some_College,Under_25,Male,Not_Say,0,0,0,1,0,0,0,0,0,USA,Other,Single,Censorship,1,Win95,English,Primarily_home,Indigenous,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,1,0,0,0,0,Other_sources,6-12_mo,98006,Laid_off
29,Dont_Know,0,0,0,1,0,0,0,0,Georgia,0,0,0,1,0,0,College,Never,Female,Not_Say,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Other,3,Macintosh,English,Primarily_work,White,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0,Other_sources,6-12_mo,95521,Architect
27,Equally,0,0,0,0,0,1,0,0,United_Kingdom,0,0,0,1,0,0,College,Never,Female,$20-29,0,0,1,0,0,0,0,0,0,Europe,Professional,Single,Navigation,1,Win95,English,Primarily_work,White,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other_sources,1-3_yr,603,Marketing_Professional
23,More,0,1,0,0,0,0,0,1,Massachusetts,0,0,0,1,0,0,College,Not_Say,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Encryption,1,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,1,Other_sources,6-12_mo,97575,Other
19,Dont_Know,1,0,0,0,0,0,0,0,Florida,0,0,0,1,0,0,Some_College,Over_75,Female,$30-39,0,1,0,0,0,0,0,0,0,USA,Education,Other,Privacy,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,1,1,0,Already_paying,6-12_mo,97400,College_Student
17,Equally,1,0,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some_College,Under_25,Female,Over_$100,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,4,Macintosh,English,Primarily_home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Not_Applicable,Heterosexual,Yes,No,0,0,1,1,0,0,Other_sources,1-3_yr,96769,College_Student
45,Dont_Know,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Masters,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Navigation,1,DOS,English,Primarily_home,White,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,94724,Other
34,Equally,0,1,0,0,0,0,1,0,Saskatchewan,0,0,0,0,0,1,College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,Canada,Professional,Married,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,1-3_yr,96543,Other
31,Dont_Know,0,1,0,0,0,0,0,0,Idaho,0,0,0,1,0,0,Some_College,Under_25,Female,$20-29,0,0,0,1,0,0,1,0,0,USA,Computer,Married,Taxes,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,4-6_yr,98661,Other
59,Equally,1,1,0,0,0,1,0,0,New_York,0,0,0,1,0,0,College,Never,Male,$20-29,1,0,0,0,0,0,0,0,0,USA,Management,Other,Encryption,1,,English,Home,White,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,6-12_mo,92966,Other
37,More,0,1,0,0,0,0,0,0,Florida,0,0,0,1,0,0,Special,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Dont_Know,1,,English,Home,White,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Not_say,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,91195,Technician
55,More,0,1,0,0,0,1,0,0,Washington,0,0,0,1,0,0,Masters,Never,Female,$50-74,0,0,1,0,0,0,0,0,0,USA,Professional,Other,Privacy,4,Macintosh,English,Primarily_home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Lesbian,Yes,No,0,0,0,0,1,0,Already_paying,1-3_yr,91589,Counselor
17,Equally,0,0,0,1,0,0,1,1,North_Carolina,0,0,0,1,0,0,High_School,Never,Male,$50-74,0,0,0,0,0,0,1,0,0,USA,Education,Single,Privacy,1,Win95,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,No,Heterosexual,Yes,No,0,0,1,0,0,0,Already_paying,1-3_yr,99874,K-12_Student
54,More,1,1,0,0,1,1,0,0,Wisconsin,0,0,0,1,0,0,Some_College,Not_Say,Male,$30-39,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Privacy,1,Win95,English,Primarily_home,Not_Say,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,91334,Other
41,More,0,0,0,1,0,0,0,0,New_Jersey,0,0,0,1,0,0,High_School,Under_25,Male,Over_$100,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,1,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Dont_trust,6-12_mo,98913,Other
24,More,1,1,0,0,0,1,0,0,Illinois,0,0,0,1,0,0,College,Never,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,1-3_yr,94397,Administrator/Secretary
40,Dont_Know,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,High_School,Never,Male,Not_Say,1,0,0,0,0,0,0,0,0,USA,Management,Single,Navigation,2,,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,90553,Manager
55,More,0,0,0,1,0,0,0,0,New_York,0,1,0,0,0,0,Masters,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Censorship,1,Win95,English,Home,Other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,91900,Other
37,Less,0,0,0,0,0,1,0,0,Italy,0,0,0,0,1,0,High_School,NA,Male,Not_Say,0,0,0,0,1,0,0,0,0,Europe,Professional,Divorced,Encryption,1,Macintosh,Italian,Public,Latino,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,95573,Marketing_Professional
31,Equally,0,1,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Male,$40-49,1,0,0,0,0,0,0,0,0,USA,Professional,Divorced,Privacy,4,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,1-3_yr,97712,Engineer
23,More,0,1,0,0,0,0,0,0,South_Dakota,0,0,0,1,0,0,Some_College,26-50,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr,96950,College_Student
28,Equally,0,1,0,0,0,0,0,0,Louisiana,0,0,0,1,0,0,High_School,NA,Male,$10-19,1,0,0,0,0,0,0,0,1,USA,Other,Single,Privacy,3,,English,Home,White,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,91361,Service_Industry_Occupation
44,More,1,1,0,0,0,1,0,0,Vermont,0,0,0,1,0,0,Masters,Never,Male,Over_$100,0,0,1,0,0,0,0,0,0,USA,Computer,Married,Other,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,Over_7_yr,95663,IS
24,Equally,0,0,0,0,0,1,0,0,Florida,0,0,0,1,0,0,Some_College,Under_25,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,4,Win95,English,Primarily_home,Hispanic,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,Over_7_yr,92303,College_Student
23,More,0,0,0,0,0,1,0,0,Missouri,0,0,0,1,0,0,College,26-50,Male,$10-19,0,1,0,0,0,0,0,0,0,USA,Education,Single,Navigation,2,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Not_say,Yes,Yes,0,0,0,1,0,0,Already_paying,6-12_mo,92675,College_Student
36,More,1,1,0,0,0,0,1,1,Mississippi,0,0,0,1,0,0,Some_College,Never,Female,$20-29,0,0,0,0,0,0,0,1,0,USA,Other,Divorced,Dont_Know,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,97423,Administrator/Secretary
20,Equally,0,0,1,0,0,0,0,0,Netherlands,0,0,0,1,0,0,Some_College,Under_25,Male,Under_$10,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Navigation,4,Win95,Dutch,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,0,Other_sources,4-6_yr,94184,College_Student
Not_Say,Equally,0,0,1,0,0,0,0,0,Kansas,0,0,0,1,0,0,Some_College,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,USA,Computer,Single,Privacy,4,,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Cost_too_high,1-3_yr,92813,Other
20,Dont_Know,1,0,0,0,0,0,0,0,Virginia,0,0,0,0,0,1,High_School,NA,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,4,Win95,English,School,Black,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,Yes,Heterosexual,No,No,0,0,0,1,0,0,Cost_too_high,1-3_yr,97214,College_Student
48,Equally,0,0,1,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some_College,Never,Male,$40-49,0,0,0,0,0,0,1,0,0,USA,Other,Widowed,Encryption,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr,91682,Other
69,Dont_Know,0,0,1,0,0,0,0,0,Alaska,0,0,0,1,0,0,College,NA,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Professional,Widowed,Privacy,1,Win95,English,Home,Not_Say,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Not_say,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,95727,Other
45,Dont_Know,0,1,0,0,0,0,0,0,New_Jersey,0,0,0,0,1,0,Some_College,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,6-12_mo,90516,Service_Industry_Occupation
28,Dont_Know,0,0,1,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Masters,Under_25,Female,$75-99,0,0,0,0,0,1,0,0,0,USA,Professional,Single,Privacy,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other,4-6_yr,96174,Advertising_Professional
30,Equally,0,1,0,0,0,0,1,0,Colorado,0,0,0,1,0,0,Some_College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Management,Married,Navigation,1,Win95,English,Primarily_home,Not_Say,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Poor_quality,4-6_yr,91092,Manager
23,Equally,0,0,1,0,0,0,0,0,Maryland,0,0,0,1,0,0,College,51-75,Female,Over_$100,1,0,0,0,0,0,0,0,0,USA,Professional,Single,Privacy,1,Win95,English,Primarily_work,White,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,4-6_yr,97966,Consultant
